"Concise_Topic_Knowledge","Concise_Topic_Score_mean","Concise_Topic_Score_sd","Concise_Topic_Score_median","Detailed_Topic_Score_mean","Detailed_Topic_Score_sd","Detailed_Topic_Score_median","Concise_Topic_Understanding_mean","Concise_Topic_Understanding_sd","Concise_Topic_Understanding_median","Detailed_Topic_Understanding_mean","Detailed_Topic_Understanding_sd","Detailed_Topic_Understanding_median","Concise_Satisfaction_mean","Concise_Satisfaction_sd","Concise_Satisfaction_median","Detailed_Satisfaction_mean","Detailed_Satisfaction_sd","Detailed_Satisfaction_median","Concise_Trustworthiness_mean","Concise_Trustworthiness_sd","Concise_Trustworthiness_median","Detailed_Trustworthiness_mean","Detailed_Trustworthiness_sd","Detailed_Trustworthiness_median"
0,3.66666666666667,1.52752523165195,4,3.66666666666667,1.15470053837925,3,0.333333333333333,0.577350269189626,0,1.66666666666667,1.52752523165195,2,5,1,5,6,1,6,6,1,6,5.66666666666667,0.577350269189626,6
1,3,NA,3,2,NA,2,2,NA,2,1,NA,1,6,NA,6,7,NA,7,5,NA,5,5,NA,5
